iguanaID,tx,diet,lps,time,drom
33,W-C,w,c,0423dromstd,-0.627713813
33,W-C,w,c,0428dromstd,0.461820208
33,W-C,w,c,0430dromstd,0.615613271
33,W-C,w,c,0504dromstd,1.045285602
33,W-C,w,c,0511dromstd,-0.879840112
33,W-C,w,c,0525dromstd,-0.895671677
33,W-C,w,c,0528dromstd,-0.114013071
33,W-C,w,c,0530dromstd,-0.212484691
33,W-C,w,c,0603dromstd,-0.983612784
33,W-C,w,c,0610dromstd,-0.804285398
33,W-C,w,c,0624dromstd,2.427558985
33,W-C,w,c,0628dromstd,-0.832075868
34,W-C,w,c,0423dromstd,-0.377724063
34,W-C,w,c,0428dromstd,-0.116078688
34,W-C,w,c,0430dromstd,1.590191391
34,W-C,w,c,0504dromstd,-0.148085527
34,W-C,w,c,0511dromstd,-0.898480087
34,W-C,w,c,0525dromstd,-0.965853939
34,W-C,w,c,0528dromstd,-0.640032066
34,W-C,w,c,0530dromstd,-0.849862919
34,W-C,w,c,0603dromstd,-0.866866658
34,W-C,w,c,0610dromstd,1.029795235
34,W-C,w,c,0624dromstd,1.644535725
34,W-C,w,c,0628dromstd,-0.470041493
35,W-L,w,l,0423dromstd,-0.001592697
35,W-L,w,l,0428dromstd,-0.827706255
35,W-L,w,l,0430dromstd,-1.250347275
35,W-L,w,l,0504dromstd,1.893949867
35,W-L,w,l,0511dromstd,-0.860035138
35,W-L,w,l,0525dromstd,0.292849682
35,W-L,w,l,0528dromstd,-0.346166706
35,W-L,w,l,0530dromstd,-0.902430196
35,W-L,w,l,0603dromstd,-0.85872158
35,W-L,w,l,0610dromstd,-1.038640146
35,W-L,w,l,0624dromstd,-0.553162017
35,W-L,w,l,0628dromstd,-0.649851899
36,G-L,g,l,0423dromstd,0.906626943
36,G-L,g,l,0428dromstd,-1.916639712
36,G-L,g,l,0430dromstd,-2.869097762
36,G-L,g,l,0504dromstd,1.115839638
36,G-L,g,l,0511dromstd,0.558932969
36,G-L,g,l,0525dromstd,0.498819366
36,G-L,g,l,0528dromstd,-0.328534784
36,G-L,g,l,0530dromstd,-1.758291167
36,G-L,g,l,0603dromstd,0.053527215
36,G-L,g,l,0610dromstd,1.732859478
36,G-L,g,l,0624dromstd,-1.048391525
36,G-L,g,l,0628dromstd,-1.280998494
