iguanaID,tx,diet,lps,time,totri
32,W-L,w,l,0504totri,5.806631893
32,W-L,w,l,0511totri,3.5
32,W-L,w,l,0525totri,5.221571906
32,W-L,w,l,0528totri,2.295748614
32,W-L,w,l,0530totri,4.175321978
32,W-L,w,l,0603totri,6.115496469
32,W-L,w,l,0610totri,6.076767677
32,W-L,w,l,0624totri,3.707216495
32,W-L,w,l,0628totri,4.573677307
33,W-C,w,c,0324totri,1.177966102
33,W-C,w,c,0423totri,1.215562174
33,W-C,w,c,0428totri,1.179613646
33,W-C,w,c,0430totri,3.986587183
33,W-C,w,c,0504totri,2.699329359
33,W-C,w,c,0511totri,2.927203065
33,W-C,w,c,0525totri,1.881270903
33,W-C,w,c,0528totri,2.121996303
33,W-C,w,c,0530totri,2.644370586
33,W-C,w,c,0603totri,5.193186539
33,W-C,w,c,0610totri,2.854545455
33,W-C,w,c,0624totri,1.913402062
33,W-C,w,c,0628totri,1.519457805
34,W-C,w,c,0324totri,0.830508475
34,W-C,w,c,0423totri,1.265822785
34,W-C,w,c,0428totri,3.520345253
34,W-C,w,c,0430totri,4.44485842
34,W-C,w,c,0504totri,3.032786885
34,W-C,w,c,0511totri,4.059386973
34,W-C,w,c,0525totri,1.308528428
34,W-C,w,c,0528totri,1.739371534
34,W-C,w,c,0530totri,3.07852098
34,W-C,w,c,0603totri,3.683007894
34,W-C,w,c,0610totri,3.034343434
34,W-C,w,c,0624totri,2.418556701
34,W-C,w,c,0628totri,4.160472234
35,W-L,w,l,0324totri,2.355932203
35,W-L,w,l,0423totri,2.29523455
35,W-L,w,l,0428totri,2.924373202
35,W-L,w,l,0430totri,4.379657228
35,W-L,w,l,0504totri,4.992548435
35,W-L,w,l,0511totri,5.126436782
35,W-L,w,l,0525totri,3.599498328
35,W-L,w,l,0528totri,2.502772643
35,W-L,w,l,0530totri,4.563772331
35,W-L,w,l,0603totri,5.986705442
35,W-L,w,l,0610totri,3.262626263
35,W-L,w,l,0624totri,3.562886598
35,W-L,w,l,0628totri,4.083952777
36,G-L,g,l,0324totri,2.025423729
36,G-L,g,l,0423totri,3.064035741
36,G-L,g,l,0504totri,4.001490313
36,G-L,g,l,0511totri,7.51532567
36,G-L,g,l,0525totri,4.857859532
36,G-L,g,l,0528totri,2.375231054
36,G-L,g,l,0603totri,7.775238887
36,G-L,g,l,0610totri,5.98989899
36,G-L,g,l,0624totri,5.222680412
