iguanaID,tx,diet,lps,time,oxy
27,W-C,w,c,0628oxystd,-2.601648674
28,G-L,g,l,0324oxystd,1.44638783
28,G-L,g,l,0423oxystd,-2.02375782
28,G-L,g,l,0428oxystd,0.081530308
28,G-L,g,l,0430oxystd,0.109120511
28,G-L,g,l,0504oxystd,-3.523186457
28,G-L,g,l,0525oxystd,0.381080434
28,G-L,g,l,0528oxystd,-0.318265891
28,G-L,g,l,0530oxystd,-0.08466744
28,G-L,g,l,0603oxystd,-2.12141594
28,G-L,g,l,0610oxystd,-1.409219571
28,G-L,g,l,0624oxystd,-1.257358544
28,G-L,g,l,0628oxystd,-0.410203512
29,G-L,g,l,0324oxystd,1.667667053
29,G-L,g,l,0423oxystd,-0.732344462
29,G-L,g,l,0428oxystd,0.881154483
29,G-L,g,l,0430oxystd,0.795974205
29,G-L,g,l,0504oxystd,-0.174823584
29,G-L,g,l,0511oxystd,-0.774771272
29,G-L,g,l,0525oxystd,-0.054972483
29,G-L,g,l,0528oxystd,0.522366667
29,G-L,g,l,0530oxystd,0.139033825
29,G-L,g,l,0603oxystd,-0.970071697
29,G-L,g,l,0610oxystd,-0.372363127
29,G-L,g,l,0624oxystd,0.157445001
30,W-C,w,c,0324oxystd,-1.619576048
30,W-C,w,c,0423oxystd,-0.086637783
30,W-C,w,c,0428oxystd,1.414237266
30,W-C,w,c,0430oxystd,1.007313803
30,W-C,w,c,0504oxystd,0.315180739
30,W-C,w,c,0511oxystd,-0.663062638
30,W-C,w,c,0525oxystd,-0.155600079
30,W-C,w,c,0528oxystd,-0.26222372
30,W-C,w,c,0530oxystd,0.437302178
30,W-C,w,c,0603oxystd,-1.435431632
30,W-C,w,c,0610oxystd,0.886676839
30,W-C,w,c,0624oxystd,-0.832917481
30,W-C,w,c,0628oxystd,0.215923678
31,G-L,g,l,0324oxystd,-1.432579522
31,G-L,g,l,0423oxystd,0.236215557
31,G-L,g,l,0428oxystd,1.201004153
31,G-L,g,l,0430oxystd,-0.524898284
31,G-L,g,l,0504oxystd,-26.71672441
31,G-L,g,l,0511oxystd,-0.383791051
31,G-L,g,l,0525oxystd,-1.329588703
31,G-L,g,l,0528oxystd,-0.374308062
31,G-L,g,l,0530oxystd,-2.918216795
31,G-L,g,l,0603oxystd,-0.042766417
31,G-L,g,l,0610oxystd,-0.409393715
31,G-L,g,l,0624oxystd,0.581886065
31,G-L,g,l,0628oxystd,-0.097139917
32,W-L,w,l,0324oxystd,-1.357780911
32,W-L,w,l,0423oxystd,0.817351568
32,W-L,w,l,0428oxystd,1.094387596
32,W-L,w,l,0430oxystd,-0.683402982
32,W-L,w,l,0504oxystd,-26.71672441
32,W-L,w,l,0511oxystd,-0.383791051
32,W-L,w,l,0525oxystd,-0.859993254
32,W-L,w,l,0528oxystd,-0.150139379
32,W-L,w,l,0530oxystd,-0.904905411
32,W-L,w,l,0603oxystd,-0.878365546
32,W-L,w,l,0610oxystd,1.368074474
32,W-L,w,l,0624oxystd,1.501508369
32,W-L,w,l,0628oxystd,0.171200307
33,W-C,w,c,0324oxystd,-1.432579522
33,W-C,w,c,0423oxystd,0.688210232
33,W-C,w,c,0428oxystd,1.307620709
33,W-C,w,c,0430oxystd,-0.524898284
33,W-C,w,c,0504oxystd,-0.011488809
33,W-C,w,c,0511oxystd,0.174752121
33,W-C,w,c,0525oxystd,1.253186269
33,W-C,w,c,0528oxystd,-0.038055038
33,W-C,w,c,0530oxystd,-0.755771235
33,W-C,w,c,0603oxystd,-0.082556851
33,W-C,w,c,0610oxystd,-0.446424302
33,W-C,w,c,0624oxystd,-0.549956772
33,W-C,w,c,0628oxystd,0.976220979
34,W-C,w,c,0324oxystd,-1.058586469
34,W-C,w,c,0423oxystd,0.817351568
34,W-C,w,c,0428oxystd,1.147695874
34,W-C,w,c,0430oxystd,-0.894742581
34,W-C,w,c,0504oxystd,0.764351369
34,W-C,w,c,0511oxystd,0.286460756
34,W-C,w,c,0525oxystd,-0.591652997
34,W-C,w,c,0528oxystd,-0.766603256
34,W-C,w,c,0530oxystd,0.437302178
34,W-C,w,c,0603oxystd,0.951994452
34,W-C,w,c,0610oxystd,-3.519963045
34,W-C,w,c,0624oxystd,-2.884382622
34,W-C,w,c,0628oxystd,0.215923678
35,W-L,w,l,0324oxystd,-1.245582996
35,W-L,w,l,0423oxystd,1.138915106
35,W-L,w,l,0428oxystd,1.254312431
35,W-L,w,l,0430oxystd,0.637469506
35,W-L,w,l,0504oxystd,0.43768182
35,W-L,w,l,0511oxystd,0.845003929
35,W-L,w,l,0525oxystd,0.045655113
35,W-L,w,l,0528oxystd,0.578408838
35,W-L,w,l,0530oxystd,1.033838884
35,W-L,w,l,0603oxystd,0.872413582
35,W-L,w,l,0610oxystd,-0.409393715
35,W-L,w,l,0624oxystd,0.015964646
35,W-L,w,l,0628oxystd,-3.361945976
36,G-L,g,l,0324oxystd,-0.385398975
36,G-L,g,l,0423oxystd,0.816142379
36,G-L,g,l,0428oxystd,-47.68268706
36,G-L,g,l,0430oxystd,-34.86758299
36,G-L,g,l,0504oxystd,0.274347046
36,G-L,g,l,0511oxystd,1.151926167
36,G-L,g,l,0525oxystd,0.716505755
36,G-L,g,l,0528oxystd,-0.150139379
36,G-L,g,l,0530oxystd,0.139033825
36,G-L,g,l,0603oxystd,0.116395322
36,G-L,g,l,0610oxystd,-1.668433682
36,G-L,g,l,0624oxystd,0.086704824
