iguanaID,tx,diet,lps,time,glycerol
31,G-L,g,l,0511gly,5.188376754
31,G-L,g,l,0525gly,1.935698448
31,G-L,g,l,0528gly,1.983535868
31,G-L,g,l,0530gly,0.575086806
31,G-L,g,l,0603gly,6.514756944
31,G-L,g,l,0610gly,3.279614902
31,G-L,g,l,0624gly,6.817175741
31,G-L,g,l,0628gly,7.757369615
32,W-L,w,l,0324gly,0
32,W-L,w,l,0423gly,0.163233579
32,W-L,w,l,0428gly,0.201931519
32,W-L,w,l,0430gly,2.15625
32,W-L,w,l,0504gly,5.716796875
32,W-L,w,l,0511gly,1.216432866
32,W-L,w,l,0525gly,0.317073171
32,W-L,w,l,0528gly,0.197961584
32,W-L,w,l,0530gly,0.355902778
32,W-L,w,l,0603gly,0.338541667
32,W-L,w,l,0610gly,0.462536626
32,W-L,w,l,0624gly,1.482957061
32,W-L,w,l,0628gly,2.664399093
33,W-C,w,c,0324gly,0
33,W-C,w,c,0423gly,0.602409639
33,W-C,w,c,0428gly,0.122914838
33,W-C,w,c,0430gly,0.1875
33,W-C,w,c,0504gly,1.033203125
33,W-C,w,c,0511gly,0.981963928
33,W-C,w,c,0525gly,0.379157428
33,W-C,w,c,0528gly,0.525284202
33,W-C,w,c,0530gly,0.297309028
33,W-C,w,c,0603gly,0.334201389
33,W-C,w,c,0610gly,0.362076183
33,W-C,w,c,0624gly,0.126162019
33,W-C,w,c,0628gly,0.167800454
34,W-C,w,c,0324gly,0
34,W-C,w,c,0423gly,0.066070735
34,W-C,w,c,0428gly,0.184372256
34,W-C,w,c,0430gly,0.357421875
34,W-C,w,c,0504gly,0.27734375
34,W-C,w,c,0511gly,0.270541082
34,W-C,w,c,0525gly,0.490022173
34,W-C,w,c,0528gly,0.319482556
34,W-C,w,c,0530gly,0.290798611
34,W-C,w,c,0603gly,0.598958333
34,W-C,w,c,0610gly,0.359983257
34,W-C,w,c,0624gly,0.179282869
34,W-C,w,c,0628gly,0.916099773
35,W-L,w,l,0324gly,0
35,W-L,w,l,0423gly,0.75204042
35,W-L,w,l,0428gly,0.158033363
35,W-L,w,l,0430gly,0.279296875
35,W-L,w,l,0504gly,0.583984375
35,W-L,w,l,0511gly,0.386773547
35,W-L,w,l,0525gly,0.323725055
35,W-L,w,l,0528gly,0.15876127
35,W-L,w,l,0530gly,0.314670139
35,W-L,w,l,0603gly,0.690104167
35,W-L,w,l,0610gly,0.073252407
35,W-L,w,l,0624gly,1.084550686
35,W-L,w,l,0628gly,1.195011338
36,G-L,g,l,0324gly,0
36,G-L,g,l,0423gly,2.757481539
36,G-L,g,l,0504gly,1.28515625
36,G-L,g,l,0511gly,3.188376754
36,G-L,g,l,0525gly,3.356984479
36,G-L,g,l,0528gly,0.983927871
36,G-L,g,l,0603gly,7.016059028
36,G-L,g,l,0610gly,2.823357053
36,G-L,g,l,0624gly,3.160690571
